ParticipantID,MotionParallax,TrialNumber,Time,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ
sef,1,1,2.484164,0.04088526,2.893213,-15.43769,356.9337,0.8375003,0.4750645,
sef,1,1,2.495271,0.04100014,2.893164,-15.43766,356.9347,0.8326353,0.4755755,
sef,1,1,2.507201,0.04099804,2.893201,-15.43772,356.9427,0.8215069,0.4712303,
sef,1,1,2.517573,0.04098763,2.893198,-15.43774,356.942,0.8198195,0.4781856,
sef,1,1,2.528893,0.04103832,2.893055,-15.4376,356.9555,0.8220279,0.4790222,
sef,1,1,2.539903,0.04103757,2.893039,-15.43761,356.9478,0.8230376,0.4876119,
sef,1,1,2.550694,0.04097306,2.892881,-15.43752,356.9467,0.828587,0.4903558,
sef,1,1,2.56177,0.04096042,2.892897,-15.43754,356.9522,0.8363781,0.494944,
sef,1,1,2.573189,0.0410625,2.892969,-15.43752,356.9492,0.8302608,0.4893608,
sef,1,1,2.584083,0.04107023,2.892986,-15.43754,356.9448,0.8276104,0.4891587,
sef,1,1,2.595118,0.04115164,2.892736,-15.43748,356.9347,0.8240153,0.499923,
sef,1,1,2.607018,0.04118446,2.892722,-15.43737,356.94,0.8316574,0.5017909,
sef,1,1,2.617405,0.04119552,2.892717,-15.43738,356.9455,0.825797,0.4986529,
sef,1,1,2.62845,0.0413313,2.892396,-15.4371,356.9496,0.8262484,0.4839689,
sef,1,1,2.639566,0.04133745,2.892382,-15.43709,356.9484,0.8273441,0.4797288,
sef,1,1,2.650802,0.04122122,2.892382,-15.43706,356.9465,0.829211,0.4846382,
sef,1,1,2.661772,0.04122535,2.892373,-15.43706,356.9558,0.8261553,0.4863875,
sef,1,1,2.673161,0.04098652,2.892632,-15.43729,356.9483,0.8259177,0.5009828,
sef,1,1,2.684222,0.04096083,2.892616,-15.43729,356.9493,0.8311184,0.4994489,
sef,1,1,2.695104,0.04100601,2.892891,-15.43752,356.943,0.8293335,0.4846762,
sef,1,1,2.706386,0.04111678,2.892588,-15.4373,356.952,0.8392503,0.4903277,
sef,1,1,2.717558,0.0411251,2.892569,-15.4373,356.9471,0.8393754,0.4933597,
sef,1,1,2.728701,0.04111062,2.892603,-15.43736,356.9424,0.8359205,0.4904119,
sef,1,1,2.739496,0.04111911,2.89261,-15.43736,356.9488,0.8344293,0.4936627,
sef,1,1,2.751407,0.04107508,2.892604,-15.43724,356.9535,0.8268558,0.5008987,
sef,1,1,2.7617,0.04106545,2.892614,-15.43724,356.9573,0.8276471,0.5030152,
sef,1,1,2.773615,0.04103779,2.892623,-15.43727,356.9478,0.8212945,0.5042454,
sef,1,1,2.784932,0.04102287,2.892613,-15.43727,356.9439,0.8200072,0.4982792,
sef,1,1,2.794958,0.04092841,2.892957,-15.43747,356.9418,0.8242964,0.4929792,
sef,1,1,2.806301,0.04110254,2.89274,-15.43731,356.949,0.8298721,0.4949609,
sef,1,1,2.817523,0.0410952,2.892747,-15.43731,356.947,0.8260451,0.5004351,
sef,1,1,2.828598,0.04099008,2.892868,-15.43746,356.9466,0.8400702,0.4955775,
sef,1,1,2.83963,0.04101772,2.892848,-15.43746,356.9282,0.8205599,0.4962659,
sef,1,1,2.850558,0.04110862,2.892801,-15.4374,356.9445,0.8276434,0.4941098,
sef,1,1,2.861665,0.04111799,2.892797,-15.4374,356.9476,0.8273316,0.4895069,
sef,1,1,2.872818,0.04106416,2.892844,-15.43745,356.9515,0.8303133,0.4888497,
sef,1,1,2.883964,0.04107673,2.892847,-15.43745,356.9405,0.8228191,0.4946681,
sef,1,1,2.89586,0.04113799,2.892727,-15.43734,356.9457,0.8292347,0.493277,
sef,1,1,2.906224,0.04114166,2.892707,-15.43728,356.9564,0.8380245,0.4907164,
sef,1,1,2.921437,0.04113994,2.892694,-15.43728,356.9483,0.8377841,0.4959261,
sef,1,1,2.934296,0.04110173,2.892809,-15.43734,356.9425,0.8284375,0.4915609,
sef,1,1,2.940464,0.04107821,2.892837,-15.43735,356.9418,0.8372482,0.4894207,
sef,1,1,2.950815,0.04114366,2.892797,-15.43732,356.9391,0.8340438,0.4822093,
sef,1,1,2.961767,0.04114275,2.892794,-15.43732,356.9333,0.8315952,0.4852642,
sef,1,1,2.973341,0.04118726,2.892632,-15.4371,356.9518,0.8304542,0.4903312,
sef,1,1,2.985445,0.04118089,2.892612,-15.43709,356.942,0.8366365,0.482942,
sef,1,1,2.995788,0.04087684,2.892843,-15.43741,356.9418,0.8318592,0.4891929,
